,TA_I,I_II,I_III,II_III,III_IV
0,AHSG,GATA4,GATA4,CNTN5,PRTN3
1,HPSE2,CNTN5,CNTN5,AHSG,AQP10
2,C4BPB,AHSG,FXYD4,NEK2,AHSG
3,ADH4,MMP8,ADH4,PLA2G4F,COL2A1
4,SERPINB5,PIK3C2G,IVL,ADH4,ADH4
5,NR0B2,PLA2G4F,GCGR,ZFP42,ZFP42
6,NMUR2,PAK7,MMP3,IVL,IVL
7,ITPKA,ONECUT1,INSM1,ERCC6L,MYBPC1
8,MMP3,FXYD4,C10orf90,KIF14,NR0B2
9,INSM1,ZFP42,TTR,NMUR2,MMP3
10,GABRA3,DRD2,CPB2,EDA,TTR
11,KLK7,NR0B2,OTX1,CPB2,PTPRQ
12,TFF1,GCGR,GRIA2,TTR,OXT
13,HRG,INSM1,CALCA,PTPRQ,KRT4
14,GRIA2,C10orf90,ARHGDIG,GDNF,INHBE
15,PAK7,OTX1,ATP12A,TFF1,HRG
16,TNNT2,CNGA3,,GABRA2,ACVRL1
17,,CALCA,,CENPE,DPP10
18,,ATP12A,,GRIA2,
19,,,,PCDH15,
